id,active,academic_year/id,class_id/id,evaluation_type,division_id/id,divisional,name,obj_mark,optional_for/id,paper,pass_mark,prac_mark,selection_type,display,subj_mark,total_mark,tut_mark,compulsory_for/id,tut_pass,subj_pass,obj_pass,prac_pass,selective_for/id
__export__.education_syllabus_40_db2dd6db,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_2_8a4446be,General,,False,Rel & Moral EduClass 2-2019,0,,,40,0,Compulsory,Rel & Moral Edu,80,100,20,,10,30,0,0,
__export__.education_syllabus_41_c6dad511,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_2_8a4446be,General,,False,Bang & Global Int.Class 2-2019,0,,,40,0,Compulsory,Bang & Global Int.,80,100,20,,10,30,0,0,
__export__.education_syllabus_42_25129ee6,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_2_8a4446be,General,,False,Bangla Dictation Class 2-2019,0,,,17,0,Compulsory,Bangla Dictation,50,50,0,,0,17,0,0,
__export__.education_syllabus_43_97432a8e,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_2_8a4446be,General,,False,English Dictation Class 2-2019,0,,,17,0,Compulsory,English Dictation,50,50,0,,0,17,0,0,
__export__.education_syllabus_44_626c8bf0,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_2_8a4446be,Extra,,False,Arts & CraftsClass 2-2019,0,,,17,0,Compulsory,Arts & Crafts,50,50,0,,0,17,0,0,
__export__.education_syllabus_45_0ba59f24,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_3_710c85ee,General,,False,Bangla Class 3-2019,0,,,40,0,Compulsory,Bangla,80,100,20,,10,30,0,0,
__export__.education_syllabus_46_4872fabd,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_3_710c85ee,General,,False,English Class 3-2019,0,,,40,0,Compulsory,English,80,100,20,,10,30,0,0,
__export__.education_syllabus_47_22bcd18f,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_3_710c85ee,General,,False,Mathematics Class 3-2019,0,,,40,0,Compulsory,Mathematics,80,100,20,,10,30,0,0,
__export__.education_syllabus_48_c2ad8253,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_3_710c85ee,General,,False,Rel & Moral Edu Class 3-2019,0,,,40,0,Compulsory,Rel & Moral Edu,80,100,20,,10,30,0,0,
__export__.education_syllabus_49_788087d9,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_3_710c85ee,General,,False,Bang & Global Int. Class 3-2019,0,,,40,0,Compulsory,Bang & Global Int.,80,100,20,,10,30,0,0,
__export__.education_syllabus_50_49a5c840,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_3_710c85ee,General,,False,Gen Science Class 3-2019,0,,,40,0,Compulsory,Gen Science,80,100,20,,10,30,0,0,
__export__.education_syllabus_51_667778c8,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_3_710c85ee,General,,False,Bangla Dictation Class 3-2019,0,,,17,0,Compulsory,Bangla Dictation,50,50,0,,0,17,0,0,
__export__.education_syllabus_52_2fcda724,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_3_710c85ee,General,,False,English DictationClass 3-2019,0,,,17,0,Compulsory,English Dictation,50,50,0,,0,17,0,0,
__export__.education_syllabus_53_eafc3123,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_3_710c85ee,Extra,,False,General Knowledge Class 3-2019,0,,,17,0,Compulsory,Gen. Knowledge,50,50,0,,0,17,0,0,
__export__.education_syllabus_54_c0cbf5cc,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_3_710c85ee,Extra,,False,Phy. Education Class 3-2019,0,,,17,0,Compulsory,Phy. Education,50,50,0,,0,17,0,0,
__export__.education_syllabus_55_09490b89,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_3_710c85ee,Extra,,False,Arts & Crafts Class 3-2019,0,,,17,0,Compulsory,Arts & Crafts,50,50,0,,0,17,0,0,
__export__.education_syllabus_56_e8482c6e,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_4_0614aa18,General,,False,BanglaClass 4-2019,0,,,40,0,Compulsory,Bangla,80,100,20,,10,30,0,0,
__export__.education_syllabus_57_f34539d0,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_4_0614aa18,General,,False,EnglishClass 4-2019,0,,,40,0,Compulsory,English,80,100,20,,10,30,0,0,
__export__.education_syllabus_58_694edc40,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_4_0614aa18,General,,False,Mathematics Class 4-2019,0,,,40,0,Compulsory,Mathematics,80,100,20,,10,30,0,0,
__export__.education_syllabus_59_f530f6d5,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_4_0614aa18,General,,False,Rel & Moral Edu Class 4-2019,0,,,40,0,Compulsory,Rel & Moral Edu,80,100,20,,10,30,0,0,
__export__.education_syllabus_60_227f5f5b,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_4_0614aa18,General,,False,Bang & Global Int. Class 4-2019,0,,,40,0,Compulsory,Bang & Global Int.,80,100,20,,10,30,0,0,
__export__.education_syllabus_61_979a7220,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_4_0614aa18,General,,False,Gen Science Class 4-2019,0,,,40,0,Compulsory,Gen Science,80,100,20,,10,30,0,0,
__export__.education_syllabus_62_97ecd84b,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_4_0614aa18,General,,False,Bangla Dictation & Sp. Class 4-2019,0,,,17,0,Compulsory,Bangla Dictation & Sp.,50,50,0,,0,17,0,0,
__export__.education_syllabus_63_2aaa45b6,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_4_0614aa18,General,,False,English Dictation & Sp. Class 4-2019,0,,,17,0,Compulsory,English Dictation & Sp.,50,50,0,,0,17,0,0,
__export__.education_syllabus_64_bb5517eb,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_4_0614aa18,Extra,,False,General Knowledge Class 4-2019,0,,,17,0,Compulsory,General Knowledge,50,50,0,,0,17,0,0,
__export__.education_syllabus_65_58f17b51,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_4_0614aa18,Extra,,False,Phy. Education Class 4-2019,0,,,17,0,Compulsory,Phy. Education,50,50,0,,0,17,0,0,
__export__.education_syllabus_66_8a1d37be,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_4_0614aa18,Extra,,False,Arts & CraftsClass 4-2019,0,,,17,0,Compulsory,Arts & Crafts,50,50,0,,0,17,0,0,
__export__.education_syllabus_67_84edcc13,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_5_3d299d3a,General,,False,Bangla Class 5-2019,0,,,41,0,Compulsory,Bangla,100,125,25,,8,33,0,0,
__export__.education_syllabus_68_28181dc6,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_5_3d299d3a,General,,False,English Class 5-2019,0,,,41,0,Compulsory,English,100,125,25,,8,33,0,0,
__export__.education_syllabus_69_474caf4e,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_5_3d299d3a,General,,False,Mathematics Class 5-2019,0,,,41,0,Compulsory,Mathematics,100,125,25,,8,33,0,0,
__export__.education_syllabus_70_dd2b51fc,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_5_3d299d3a,General,,False,Rel & Moral EduClass 5-2019,0,,,41,0,Compulsory,Rel & Moral Edu,100,125,25,,8,33,0,0,
__export__.education_syllabus_71_63caf915,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_5_3d299d3a,General,,False,Bang & Global Int. Class 5-2019,0,,,41,0,Compulsory,Bang & Global Int.,100,125,25,,8,33,0,0,
__export__.education_syllabus_72_ef3228cd,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_5_3d299d3a,General,,False,Elementary Science Class 5-2019,0,,,41,0,Compulsory,Elementary Science,100,125,25,,8,33,0,0,
__export__.education_syllabus_73_bd361abc,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_6_83de9d6c,General,,False,Bangla-1st Class 6-2019,20,,1st ,33,0,Compulsory,Bangla-1st ,60,100,20,,6,20,7,0,
__export__.education_syllabus_74_d73cbbaf,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_6_83de9d6c,General,,False,Bangla-2nd Class 6-2019,20,,2nd,17,0,Compulsory,Bangla-2nd,30,50,0,,0,10,7,0,
__export__.education_syllabus_75_d95b2075,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_6_83de9d6c,General,,False,English-1st Class 6-2019,0,,1st,0,0,Compulsory,English-1st,80,100,20,,0,0,0,0,
__export__.education_syllabus_76_dee074d4,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_6_83de9d6c,General,,False,English-2nd Class 6-2019,0,,2nd,0,0,Compulsory,English-2nd,50,50,0,,0,0,0,0,
__export__.education_syllabus_77_292d73da,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_6_83de9d6c,General,,False,Mathematics Class 6-2019,20,,,33,0,Compulsory,Mathematics,60,100,20,,6,20,7,0,
__export__.education_syllabus_78_e0f58bcf,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_6_83de9d6c,General,,False,Rel & Moral Edu Class 6-2019,20,,,33,0,Compulsory,Rel & Moral Edu,60,100,20,,6,20,7,0,
__export__.education_syllabus_79_abfbf97d,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_6_83de9d6c,General,,False,Bang & Global Int. Class 6-2019,20,,,33,0,Compulsory,Bang & Global Int.,60,100,20,,6,20,7,0,
__export__.education_syllabus_80_d36fce97,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_6_83de9d6c,General,,False,Gen Science Class 6-2019,20,,,33,0,Compulsory,Gen Science,60,100,20,,6,20,7,0,
__export__.education_syllabus_81_689c2301,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_6_83de9d6c,General,,False,ICT Class 6-2019,25,,,17,0,Compulsory,ICT,25,50,0,,0,8,9,0,
__export__.education_syllabus_82_9512674d,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_6_83de9d6c,General,,False,Bangla Dictation Class 6-2019,0,,,17,0,Compulsory,Bangla Dictation,50,50,0,,0,17,0,0,
__export__.education_syllabus_83_3e105246,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_6_83de9d6c,General,,False,English Dictation Class 6-2019,0,,,17,0,Compulsory,English Dictation,50,50,0,,0,17,0,0,
__export__.education_syllabus_84_890e9b96,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_6_83de9d6c,General,,False,Agr./ H.Sci Class 6-2019,20,,,33,0,Compulsory,Agr./ H.Sci,60,100,20,,6,20,7,0,
__export__.education_syllabus_85_22b3d9a8,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_6_83de9d6c,Extra,,False,W.& Life Ori. Edu. Class 6-2019,0,,,17,0,Compulsory,W.& Life Ori. Edu.,50,50,0,,0,17,0,0,
__export__.education_syllabus_86_85303b1c,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_6_83de9d6c,Extra,,False,Arts & Crafts Class 6-2019,0,,,17,0,Compulsory,Arts & Crafts,50,50,0,,0,17,0,0,
__export__.education_syllabus_87_543958a2,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_6_83de9d6c,Extra,,False,General KnowledgeClass 6-2019,0,,,17,0,Compulsory,General Knowledge,50,50,0,,0,17,0,0,
__export__.education_syllabus_88_093dcaa3,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_6_83de9d6c,Extra,,False,Phy. Education Class 6-2019,0,,,17,0,Compulsory,Phy. Education,50,50,0,,0,17,0,0,
__export__.education_syllabus_89_b4ba0e58,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_7_18380dde,General,,False,Bangla-1st Class 7-2019,20,,1st ,33,0,Compulsory,Bangla-1st ,60,100,20,,6,20,7,0,
__export__.education_syllabus_90_c36e9998,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_7_18380dde,General,,False,Bangla-2nd Class 7-2019,20,,2nd,17,0,Compulsory,Bangla-2nd,30,50,0,,0,10,7,0,
__export__.education_syllabus_91_00d49964,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_7_18380dde,General,,False,English-1st Class 7-2019,0,,1st,0,0,Compulsory,English-1st,80,100,20,,0,0,0,0,
__export__.education_syllabus_92_0eb04dab,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_7_18380dde,General,,False,English-2nd Class 7-2019,0,,2nd,0,0,Compulsory,English-2nd,50,50,0,,0,0,0,0,
__export__.education_syllabus_93_56185c6c,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_7_18380dde,General,,False,Mathematics Class 7-2019,20,,,33,0,Compulsory,Mathematics,60,100,20,,6,20,7,0,
__export__.education_syllabus_94_d1e898f6,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_7_18380dde,General,,False,Rel & Moral Edu Class 7-2019,20,,,33,0,Compulsory,Rel & Moral Edu,60,100,20,,6,20,7,0,
__export__.education_syllabus_95_dbd504a5,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_7_18380dde,General,,False,Bang & Global Int.Class 7-2019,20,,,33,0,Compulsory,Bang & Global Int.,60,100,20,,6,20,7,0,
__export__.education_syllabus_96_347e1f1c,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_7_18380dde,General,,False,Gen Science Class 7-2019,20,,,33,0,Compulsory,Gen Science,60,100,20,,6,20,7,0,
__export__.education_syllabus_97_a9b86e0f,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_7_18380dde,General,,False,ICT Class 7-2019,25,,,17,0,Compulsory,ICT,25,50,0,,0,8,9,0,
__export__.education_syllabus_98_52f97ded,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_7_18380dde,General,,False,Bangla Dictation Class 7-2019,0,,,17,0,Compulsory,Bangla Dictation,50,50,0,,0,17,0,0,
__export__.education_syllabus_99_30eff732,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_7_18380dde,General,,False,English Dictation Class 7-2019,0,,,17,0,Compulsory,English Dictation,50,50,0,,0,17,0,0,
__export__.education_syllabus_100_6f7a7516,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_7_18380dde,General,,False,Agriculture Class 7-2019,20,,,33,0,Compulsory,Agriculture,60,100,20,,6,20,7,0,
__export__.education_syllabus_101_3f990f8e,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_7_18380dde,Extra,,False,W.& Life Ori. Edu. Class 7-2019,0,,,17,0,Compulsory,W.& Life Ori. Edu.,50,50,0,,0,17,0,0,
__export__.education_syllabus_102_c6681a62,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_7_18380dde,Extra,,False,Arts & CraftsClass 7-2019,0,,,17,0,Compulsory,Arts & Crafts,50,50,0,,0,17,0,0,
__export__.education_syllabus_103_51f02c49,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_7_18380dde,Extra,,False,General Knowledge Class 7-2019,0,,,17,0,Compulsory,General Knowledge,50,50,0,,0,17,0,0,
__export__.education_syllabus_104_78558921,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_7_18380dde,Extra,,False,Phy. Education Class 7-2019,0,,,17,0,Compulsory,Phy. Education,50,50,0,,0,17,0,0,
__export__.education_syllabus_105_b2a34e14,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_8_6ebe08db,General,,False,Bangla Class 8-2019,30,,,33,0,Compulsory,Bangla,70,100,0,,0,23,10,0,
__export__.education_syllabus_106_6829b933,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_8_6ebe08db,General,,False,English Class 8-2019,0,,,33,0,Compulsory,English,100,100,0,,0,33,0,0,
__export__.education_syllabus_107_ab79755b,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_8_6ebe08db,General,,False,Mathematics Class 8-2019,30,,,33,0,Compulsory,Mathematics,70,100,0,,0,23,10,0,
__export__.education_syllabus_108_312a7d47,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_8_6ebe08db,General,,False,Rel & Moral EduClass 8-2019,30,,,33,0,Compulsory,Rel & Moral Edu,70,100,0,,0,23,10,0,
__export__.education_syllabus_109_73745c52,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_8_6ebe08db,General,,False,Bang & Global Int. Class 8-2019,30,,,33,0,Compulsory,Bang & Global Int.,70,100,0,,0,23,10,0,
__export__.education_syllabus_110_962e498c,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_8_6ebe08db,General,,False,Gen ScienceClass 8-2019,30,,,33,0,Compulsory,Gen Science,70,100,0,,0,23,10,0,
__export__.education_syllabus_111_6a8c8761,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_8_6ebe08db,General,,False,ICTClass 8-2019,25,,,17,0,Compulsory,ICT,25,50,0,,0,8,9,0,
__export__.education_syllabus_112_b49fe641,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_8_6ebe08db,Extra,,False,Agriculture Class 8-2019,0,,,33,40,Compulsory,Agr./H.Sci,60,100,0,,0,20,0,13,
__export__.education_syllabus_113_c603fe45,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_8_6ebe08db,Extra,,False,W.& Life Ori. Edu. Class 8-2019,0,,,10,0,Compulsory,W.& Life Ori. Edu.,30,30,0,,0,10,0,0,
__export__.education_syllabus_114_b0cdaecf,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_8_6ebe08db,Extra,,False,Phy. Edu. & Health Class 8-2019,0,,,10,0,Compulsory,Phy. Edu. & Health,30,30,0,,0,10,0,0,
__export__.education_syllabus_115_7c8184db,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_8_6ebe08db,Extra,,False,Arts & Crafts Class 8-2019,0,,,10,0,Compulsory,Arts & Crafts,30,30,0,,0,10,0,0,
__export__.education_syllabus_73_d9123162,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_6_83de9d6c,General,,False,Bangla-1st Class 6-2019,20,,1st ,33,0,Compulsory,Bangla-1st ,60,100,20,,6,20,7,0,
__export__.education_syllabus_74_92dd5c71,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_6_83de9d6c,General,,False,Bangla-2nd Class 6-2019,20,,2nd,17,0,Compulsory,Bangla-2nd,30,50,0,,0,10,7,0,
__export__.education_syllabus_75_a2389e8c,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_6_83de9d6c,General,,False,English-1st Class 6-2019,0,,1st,0,0,Compulsory,English-1st,80,100,20,,0,0,0,0,
__export__.education_syllabus_76_c4b4b38e,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_6_83de9d6c,General,,False,English-2nd Class 6-2019,0,,2nd,0,0,Compulsory,English-2nd,50,50,0,,0,0,0,0,
